seq_number,step_number,small_relevant,small_random,big_random,big_relevant,label
20:16,20:16:2,31,0,7,29,20
20:16,20:16:2,30,4,8,30,20
20:16,20:16:2,31,6,8,30,20
20:16,20:16:2,34,6,8,33,20
20:16,20:16:3,24,0,8,28,20
20:16,20:16:3,26,0,7,29,20
20:16,20:16:3,26,1,7,28,20
20:16,20:16:3,29,2,8,26,20
20:16,20:16:3,30,1,7,27,20
20:16,20:16:3,29,3,7,29,20
20:16,20:16:3,29,0,7,31,20
20:16,20:16:3,30,3,8,35,20
20:16,20:16:3,33,1,7,37,20
20:16,20:16:3,35,3,8,37,20
20:16,20:16:4,24,0,7,25,20
20:16,20:16:4,27,0,8,28,20
20:16,20:16:4,27,0,7,32,20
20:16,20:16:4,28,3,7,33,20
20:16,20:16:4,30,0,7,28,20
20:16,20:16:4,29,1,7,32,20
20:16,20:16:4,31,4,7,30,20
20:16,20:16:4,31,4,8,34,20
20:16,20:16:4,33,0,7,38,20
20:16,20:16:4,35,4,8,36,20
20:16,20:16:5,28,0,7,31,20
20:16,20:16:5,27,3,7,27,20
20:16,20:16:5,30,3,7,33,20
20:16,20:16:5,30,1,7,30,20
20:16,20:16:5,30,5,8,34,20
20:16,20:16:5,32,0,7,36,20
20:16,20:16:5,31,2,7,36,20
20:16,20:16:5,35,2,7,36,20
20:16,20:16:5,33,1,8,34,20
20:16,20:16:5,36,1,8,39,20
20:16,20:16:6,29,4,8,26,20
20:16,20:16:6,28,2,7,28,20
20:16,20:16:6,28,3,7,34,20
20:16,20:16:6,31,1,8,34,20
20:16,20:16:6,31,0,8,34,20
20:16,20:16:6,33,3,8,33,20
20:16,20:16:6,32,5,7,36,20
20:16,20:16:6,34,2,8,35,20
20:16,20:16:6,36,4,7,40,20
20:16,20:16:6,36,5,7,41,20
20:17,20:17:0,21,5,7,22,20
20:17,20:17:0,21,3,8,26,20
20:17,20:17:0,25,1,7,23,20
20:17,20:17:0,23,5,8,28,20
20:17,20:17:0,25,4,7,27,20
20:17,20:17:0,26,0,8,27,20
20:17,20:17:0,29,1,8,29,20
20:17,20:17:0,27,0,8,27,20
20:17,20:17:0,29,6,7,32,20
20:17,20:17:0,32,3,7,32,20
20:17,20:17:1,22,4,8,22,20
20:17,20:17:1,24,4,8,23,20
20:17,20:17:1,23,3,7,24,20
20:17,20:17:1,26,4,7,26,20
20:17,20:17:1,25,2,7,28,20
20:17,20:17:1,29,6,8,30,20
20:17,20:17:1,30,6,8,28,20
20:17,20:17:1,28,6,7,32,20
20:17,20:17:1,32,6,7,31,20
20:17,20:17:1,30,6,7,35,20
20:17,20:17:2,24,2,7,26,20
20:17,20:17:2,25,1,7,29,20
20:17,20:17:2,26,2,8,29,20
20:17,20:17:2,27,5,8,30,20
20:17,20:17:2,29,2,7,30,20
20:17,20:17:2,29,0,7,27,20
20:17,20:17:2,30,5,7,33,20
20:17,20:17:2,32,4,8,29,20
20:17,20:17:2,30,5,7,35,20
20:17,20:17:2,33,5,7,35,20
20:17,20:17:3,24,2,7,26,20
20:17,20:17:3,26,0,7,29,20
20:17,20:17:3,26,3,7,29,20
20:17,20:17:3,27,5,7,29,20
20:17,20:17:3,30,1,7,32,20
20:17,20:17:3,29,6,8,32,20
20:17,20:17:3,31,4,8,34,20
20:17,20:17:3,33,0,8,35,20
20:17,20:17:3,31,1,7,31,20
20:17,20:17:3,32,2,8,36,20
20:17,20:17:4,25,0,8,24,20
20:17,20:17:4,28,4,8,28,20
20:17,20:17:4,28,6,7,31,20
20:17,20:17:4,30,2,8,30,20
20:17,20:17:4,30,6,8,32,20
20:17,20:17:4,31,6,7,35,20
20:17,20:17:4,33,6,8,36,20
20:17,20:17:4,33,6,7,37,20
20:17,20:17:4,34,1,7,35,20
20:17,20:17:4,33,4,8,34,20
20:17,20:17:5,25,2,7,28,20
20:17,20:17:5,28,5,7,32,20
20:17,20:17:5,28,4,8,33,20
20:17,20:17:5,30,6,8,29,20
20:17,20:17:5,32,0,8,33,20
20:17,20:17:5,32,6,8,31,20
20:17,20:17:5,32,2,8,37,20
20:17,20:17:5,33,0,8,32,20
20:17,20:17:5,36,4,8,34,20
20:17,20:17:5,34,1,7,34,20
20:17,20:17:6,26,6,8,29,20
20:17,20:17:6,29,1,7,29,20
20:17,20:17:6,31,5,7,31,20
20:17,20:17:6,30,6,8,33,20
20:17,20:17:6,33,3,8,36,20
20:17,20:17:6,34,1,7,33,20
20:17,20:17:6,35,0,7,38,20
20:17,20:17:6,33,1,7,34,20
20:17,20:17:6,35,1,7,38,20
20:17,20:17:6,36,4,8,41,20
20:17,20:17:7,28,1,7,28,20
20:17,20:17:7,28,1,7,34,20
20:17,20:17:7,32,5,7,34,20
20:17,20:17:7,30,2,7,36,20
20:17,20:17:7,33,2,8,35,20
20:17,20:17:7,32,6,8,37,20
20:17,20:17:7,33,2,7,35,20
20:17,20:17:7,36,3,8,36,20
20:17,20:17:7,36,6,8,41,20
20:17,20:17:7,36,3,7,37,20
20:17,20:17:8,28,0,8,34,20
20:17,20:17:8,31,3,8,32,20
20:17,20:17:8,31,1,8,36,20
20:17,20:17:8,34,4,8,36,20
20:17,20:17:8,34,1,7,35,20
20:17,20:17:8,34,0,7,37,20
20:17,20:17:8,36,1,8,40,20
20:17,20:17:8,38,1,7,37,20
20:17,20:17:8,37,6,8,40,20
20:17,20:17:8,38,2,8,39,20
20:18,20:18:0,22,0,7,24,20
20:18,20:18:0,22,4,7,27,20
20:18,20:18:0,23,2,8,24,20
20:18,20:18:0,23,3,7,24,20
20:18,20:18:0,27,2,7,30,20
20:18,20:18:0,28,1,8,28,20
20:18,20:18:0,28,3,8,31,20
20:18,20:18:0,28,4,7,29,20
20:18,20:18:0,30,1,7,29,20
20:18,20:18:0,29,1,7,34,20
20:18,20:18:1,21,4,8,27,20
20:18,20:18:1,25,0,8,28,20
20:18,20:18:1,23,0,8,23,20
20:18,20:18:1,26,3,8,25,20
20:18,20:18:1,25,2,7,30,20
20:18,20:18:1,29,3,7,26,20
20:18,20:18:1,30,4,8,29,20
20:18,20:18:1,29,4,8,32,20
20:18,20:18:1,29,5,8,30,20
20:18,20:18:1,32,0,7,35,20
20:18,20:18:2,25,6,7,28,20
20:18,20:18:2,25,2,7,29,20
20:18,20:18:2,26,5,7,29,20
20:18,20:18:2,27,2,7,25,20
20:18,20:18:2,26,1,8,27,20
20:18,20:18:2,27,5,8,29,20
20:18,20:18:2,30,3,8,33,20
20:18,20:18:2,29,0,8,34,20
20:18,20:18:2,31,3,8,35,20
20:18,20:18:2,32,5,8,33,20
20:18,20:18:3,26,0,7,25,20
20:18,20:18:3,24,6,8,30,20
20:18,20:18:3,27,6,7,25,20
20:18,20:18:3,26,3,8,29,20
20:18,20:18:3,29,6,7,30,20
20:18,20:18:3,29,4,7,34,20
20:18,20:18:3,30,4,7,33,20
20:18,20:18:3,30,2,7,32,20
20:18,20:18:3,34,2,7,32,20
20:18,20:18:3,33,2,7,32,20
20:18,20:18:4,25,5,8,27,20
20:18,20:18:4,25,6,7,31,20
20:18,20:18:4,27,2,8,31,20
20:18,20:18:4,29,3,7,32,20
20:18,20:18:4,30,2,8,33,20
20:18,20:18:4,29,6,8,29,20
20:18,20:18:4,30,4,8,36,20
20:18,20:18:4,34,4,7,31,20
20:18,20:18:4,35,4,8,33,20
20:18,20:18:4,34,3,7,38,20
20:18,20:18:5,25,4,8,30,20
20:18,20:18:5,27,5,8,27,20
20:18,20:18:5,27,1,7,27,20
20:18,20:18:5,28,3,7,31,20
20:18,20:18:5,29,2,8,33,20
20:18,20:18:5,33,5,8,36,20
20:18,20:18:5,33,4,8,34,20
20:18,20:18:5,33,5,7,36,20
20:18,20:18:5,34,6,7,33,20
20:18,20:18:5,34,4,7,37,20
20:18,20:18:6,26,6,8,28,20
20:18,20:18:6,30,6,7,31,20
20:18,20:18:6,30,6,8,29,20
20:18,20:18:6,30,3,8,31,20
20:18,20:18:6,30,4,8,35,20
20:18,20:18:6,32,2,8,36,20
20:18,20:18:6,33,3,8,33,20
20:18,20:18:6,34,4,8,37,20
20:18,20:18:6,35,3,8,34,20
20:18,20:18:6,35,0,7,36,20
20:18,20:18:7,30,2,7,31,20
20:18,20:18:7,29,2,7,28,20
20:18,20:18:7,32,1,7,30,20
20:18,20:18:7,30,1,7,31,20
20:18,20:18:7,31,5,8,35,20
20:18,20:18:7,34,0,7,34,20
20:18,20:18:7,34,2,8,38,20
20:18,20:18:7,36,1,7,35,20
20:18,20:18:7,37,0,7,39,20
20:18,20:18:7,38,2,8,41,20
20:19,20:19:0,23,1,7,20,20
20:19,20:19:0,22,4,7,25,20
20:19,20:19:0,24,5,7,26,20
20:19,20:19:0,23,1,8,24,20
20:19,20:19:0,27,4,8,27,20
20:19,20:19:0,26,3,8,25,20
20:19,20:19:0,26,6,7,31,20
20:19,20:19:0,30,1,8,27,20
20:19,20:19:0,28,1,8,33,20
20:19,20:19:0,32,5,7,35,20
20:19,20:19:1,24,0,7,22,20
20:19,20:19:1,23,2,7,22,20
20:19,20:19:1,25,0,8,24,20
20:19,20:19:1,26,4,8,28,20
20:19,20:19:1,26,3,8,28,20
20:19,20:19:1,26,6,8,26,20
20:19,20:19:1,29,3,7,30,20
20:19,20:19:1,31,3,7,28,20
20:19,20:19:1,31,0,8,29,20
20:19,20:19:1,33,0,7,33,20
20:19,20:19:2,23,1,7,25,20
20:19,20:19:2,25,4,8,26,20
20:19,20:19:2,26,3,8,25,20
20:19,20:19:2,27,4,8,31,20
20:19,20:19:2,28,2,8,28,20
20:19,20:19:2,28,6,7,27,20
20:19,20:19:2,28,3,7,33,20
20:19,20:19:2,31,6,8,32,20
20:19,20:19:2,33,5,7,35,20
20:19,20:19:2,32,6,8,35,20
20:19,20:19:3,25,6,7,24,20
20:19,20:19:3,25,4,8,24,20
20:19,20:19:3,27,0,8,28,20
20:19,20:19:3,29,0,8,28,20
20:19,20:19:3,27,2,7,30,20
20:19,20:19:3,30,6,8,28,20
20:19,20:19:3,29,3,7,35,20
20:19,20:19:3,32,5,8,34,20
20:19,20:19:3,33,1,8,34,20
20:19,20:19:3,32,4,7,37,20
20:19,20:19:4,26,5,7,26,20
20:19,20:19:4,28,0,7,28,20
20:19,20:19:4,26,1,8,32,20
20:19,20:19:4,28,1,7,30,20
20:19,20:19:4,30,4,8,29,20
20:19,20:19:4,32,0,8,31,20
20:19,20:19:4,33,4,7,32,20
20:19,20:19:4,32,6,7,34,20
20:19,20:19:4,32,4,7,36,20
20:19,20:19:4,36,5,8,37,20
20:19,20:19:5,26,6,7,27,20
20:19,20:19:5,28,4,8,30,20
20:19,20:19:5,28,6,7,32,20
20:19,20:19:5,30,6,7,31,20
20:19,20:19:5,31,1,8,29,20
20:19,20:19:5,33,4,7,36,20
20:19,20:19:5,31,2,8,32,20
20:19,20:19:5,34,2,7,36,20
20:19,20:19:5,33,2,8,37,20
20:19,20:19:5,37,6,7,36,20
20:19,20:19:6,26,2,7,30,20
20:19,20:19:6,30,4,7,28,20
20:19,20:19:6,30,4,8,28,20
20:19,20:19:6,29,2,8,33,20
20:19,20:19:6,30,6,7,36,20
20:19,20:19:6,32,6,8,37,20
20:19,20:19:6,33,4,7,33,20
20:19,20:19:6,35,4,7,36,20
20:19,20:19:6,35,1,7,39,20
20:19,20:19:6,37,5,7,39,20
20:19,20:19:7,27,3,8,29,20
20:19,20:19:7,31,4,8,30,20
20:19,20:19:7,30,1,8,31,20
20:19,20:19:7,33,6,8,35,20
20:19,20:19:7,32,6,8,34,20
20:19,20:19:7,33,6,7,35,20
20:19,20:19:7,35,1,8,38,20
20:19,20:19:7,36,0,8,39,20
20:19,20:19:7,38,6,7,35,20
20:19,20:19:7,39,1,8,37,20
20:19,20:19:8,31,0,7,31,20
20:19,20:19:8,30,4,8,31,20
20:19,20:19:8,31,4,8,31,20
20:19,20:19:8,32,2,7,35,20
20:19,20:19:8,32,6,7,32,20
20:19,20:19:8,36,2,8,33,20
20:19,20:19:8,36,0,7,38,20
20:19,20:19:8,37,5,8,36,20
20:19,20:19:8,36,3,7,38,20
20:19,20:19:8,39,3,7,43,20
20:19,20:19:9,32,3,7,35,20
20:19,20:19:9,31,2,7,36,20
20:19,20:19:9,32,0,7,32,20
20:19,20:19:9,34,5,7,34,20
20:19,20:19:9,33,5,8,38,20
20:19,20:19:9,35,2,7,40,20
20:19,20:19:9,36,0,8,40,20
20:19,20:19:9,36,1,7,37,20
20:19,20:19:9,37,1,7,39,20
20:19,20:19:9,39,2,7,40,20
30:0,30:0:0,31,6,7,30,30
30:0,30:0:0,32,0,8,35,30
30:0,30:0:0,34,1,7,35,30
30:0,30:0:0,36,3,8,37,30
30:0,30:0:0,34,5,7,36,30
30:0,30:0:0,37,4,8,37,30
30:0,30:0:0,38,1,7,42,30
30:0,30:0:0,38,6,7,40,30
30:0,30:0:0,41,0,7,38,30
30:0,30:0:0,41,3,7,41,30
30:0,30:0:1,31,2,8,35,30
30:0,30:0:1,35,5,7,34,30
30:0,30:0:1,33,1,8,37,30
30:0,30:0:1,37,4,7,34,30
30:0,30:0:1,36,3,7,39,30
30:0,30:0:1,37,5,7,42,30
30:0,30:0:1,40,3,7,41,30
30:0,30:0:1,38,3,7,38,30
30:0,30:0:1,39,0,8,44,30
30:0,30:0:1,43,2,7,46,30
30:0,30:0:2,34,4,8,37,30
30:0,30:0:2,36,1,8,33,30
30:0,30:0:2,35,1,7,36,30
30:0,30:0:2,38,5,7,36,30
30:0,30:0:2,37,6,7,40,30
30:0,30:0:2,39,6,7,37,30
30:0,30:0:2,39,3,7,39,30
30:0,30:0:2,42,0,7,43,30
30:0,30:0:2,40,4,8,43,30
30:0,30:0:2,42,2,8,45,30
30:0,30:0:3,33,0,8,33,30
30:0,30:0:3,34,0,7,38,30
30:0,30:0:3,37,0,8,39,30
30:0,30:0:3,36,2,7,36,30
30:0,30:0:3,37,5,8,38,30
30:0,30:0:3,39,4,8,39,30
30:0,30:0:3,39,4,8,44,30
30:0,30:0:3,41,4,7,40,30
30:0,30:0:3,44,2,8,43,30
30:0,30:0:3,44,6,7,45,30
30:0,30:0:4,34,2,8,40,30
30:0,30:0:4,36,2,8,35,30
30:0,30:0:4,38,5,8,37,30
30:0,30:0:4,39,5,8,38,30
30:0,30:0:4,39,2,7,40,30
30:0,30:0:4,39,3,7,42,30
30:0,30:0:4,43,0,8,44,30
30:0,30:0:4,42,0,7,44,30
30:0,30:0:4,43,3,8,45,30
30:0,30:0:4,43,5,7,46,30
30:0,30:0:5,35,6,7,39,30
30:0,30:0:5,38,1,7,39,30
30:0,30:0:5,38,1,8,38,30
30:0,30:0:5,40,6,7,44,30
30:0,30:0:5,40,6,8,44,30
30:0,30:0:5,41,0,7,40,30
30:0,30:0:5,43,4,7,46,30
30:0,30:0:5,44,5,8,46,30
30:0,30:0:5,43,5,8,47,30
30:0,30:0:5,46,0,8,47,30
30:0,30:0:6,39,6,8,38,30
30:0,30:0:6,38,3,7,43,30
30:0,30:0:6,40,4,7,41,30
30:0,30:0:6,39,4,8,41,30
30:0,30:0:6,40,0,8,40,30
30:0,30:0:6,41,6,7,47,30
30:0,30:0:6,45,5,8,44,30
30:0,30:0:6,45,5,7,45,30
30:0,30:0:6,46,6,7,44,30
30:0,30:0:6,47,2,8,51,30
30:0,30:0:7,37,5,8,43,30
30:0,30:0:7,40,3,7,44,30
30:0,30:0:7,41,3,8,45,30
30:0,30:0:7,40,2,8,42,30
30:0,30:0:7,43,0,7,47,30
30:0,30:0:7,44,2,7,45,30
30:0,30:0:7,46,5,7,48,30
30:0,30:0:7,44,3,8,48,30
30:0,30:0:7,47,1,7,49,30
30:0,30:0:7,46,4,7,46,30
30:0,30:0:8,38,4,8,39,30
30:0,30:0:8,42,4,7,40,30
30:0,30:0:8,41,3,8,46,30
30:0,30:0:8,41,6,7,42,30
30:0,30:0:8,43,0,8,44,30
30:0,30:0:8,43,6,7,43,30
30:0,30:0:8,46,1,7,49,30
30:0,30:0:8,45,0,8,48,30
30:0,30:0:8,46,4,8,50,30
30:0,30:0:8,50,1,8,49,30
30:0,30:0:9,42,5,8,42,30
30:0,30:0:9,43,0,8,43,30
30:0,30:0:9,44,0,8,42,30
30:0,30:0:9,45,4,7,42,30
30:0,30:0:9,43,0,7,44,30
30:0,30:0:9,44,2,7,45,30
30:0,30:0:9,48,3,8,46,30
30:0,30:0:9,47,5,7,46,30
30:0,30:0:9,48,0,7,47,30
30:0,30:0:9,51,3,7,54,30
30:0,30:0:10,43,0,8,44,30
30:0,30:0:10,44,1,8,44,30
30:0,30:0:10,44,4,7,47,30
30:0,30:0:10,43,4,8,47,30
30:0,30:0:10,47,1,8,46,30
30:0,30:0:10,46,2,7,50,30
30:0,30:0:10,48,4,8,49,30
30:0,30:0:10,47,6,8,52,30
30:0,30:0:10,48,4,8,49,30
30:0,30:0:10,51,4,8,53,30
30:1,30:1:0,32,4,8,36,30
30:1,30:1:0,32,1,8,34,30
30:1,30:1:0,34,2,7,35,30
30:1,30:1:0,35,6,8,39,30
30:1,30:1:0,36,1,8,37,30
30:1,30:1:0,36,4,7,35,30
30:1,30:1:0,38,6,8,38,30
30:1,30:1:0,37,2,8,42,30
30:1,30:1:0,39,3,8,41,30
30:1,30:1:0,39,6,7,42,30
30:1,30:1:1,34,0,7,36,30
30:1,30:1:1,34,5,8,36,30
30:1,30:1:1,35,5,7,33,30
30:1,30:1:1,36,0,7,36,30
30:1,30:1:1,36,1,7,37,30
30:1,30:1:1,37,3,8,42,30
30:1,30:1:1,39,3,8,41,30
30:1,30:1:1,40,5,7,41,30
30:1,30:1:1,41,3,7,45,30
30:1,30:1:1,42,4,8,42,30
30:1,30:1:2,35,0,8,32,30
30:1,30:1:2,36,0,7,33,30
30:1,30:1:2,35,4,7,34,30
30:1,30:1:2,37,4,7,36,30
30:1,30:1:2,36,5,8,37,30
30:1,30:1:2,39,4,8,40,30
30:1,30:1:2,39,3,7,38,30
30:1,30:1:2,42,3,8,40,30
30:1,30:1:2,42,2,7,43,30
30:1,30:1:2,42,3,8,46,30
30:1,30:1:3,35,5,8,39,30
30:1,30:1:3,37,5,8,34,30
30:1,30:1:3,36,1,7,41,30
30:1,30:1:3,38,1,7,42,30
30:1,30:1:3,40,4,8,37,30
30:1,30:1:3,38,5,7,41,30
30:1,30:1:3,40,6,7,40,30
30:1,30:1:3,43,3,8,43,30
30:1,30:1:3,41,5,7,42,30
30:1,30:1:3,42,6,7,42,30
30:1,30:1:4,35,5,8,37,30
30:1,30:1:4,35,2,7,38,30
30:1,30:1:4,37,1,8,36,30
30:1,30:1:4,37,5,7,39,30
30:1,30:1:4,40,3,7,43,30
30:1,30:1:4,41,2,7,40,30
30:1,30:1:4,42,1,7,40,30
30:1,30:1:4,43,2,7,46,30
30:1,30:1:4,43,5,8,48,30
30:1,30:1:4,46,6,8,45,30
30:1,30:1:5,36,2,7,39,30
30:1,30:1:5,37,6,7,38,30
30:1,30:1:5,38,0,7,40,30
30:1,30:1:5,40,2,8,43,30
30:1,30:1:5,39,0,7,42,30
30:1,30:1:5,43,5,8,41,30
30:1,30:1:5,43,2,8,44,30
30:1,30:1:5,43,6,7,44,30
30:1,30:1:5,45,1,7,49,30
30:1,30:1:5,47,4,8,45,30
30:1,30:1:6,39,2,8,37,30
30:1,30:1:6,39,1,7,42,30
30:1,30:1:6,40,3,8,39,30
30:1,30:1:6,39,6,8,42,30
30:1,30:1:6,42,2,7,44,30
30:1,30:1:6,43,4,8,46,30
30:1,30:1:6,43,5,7,48,30
30:1,30:1:6,44,4,8,45,30
30:1,30:1:6,45,6,7,48,30
30:1,30:1:6,48,1,8,51,30
30:1,30:1:7,39,6,8,41,30
30:1,30:1:7,40,3,7,40,30
30:1,30:1:7,39,6,7,39,30
30:1,30:1:7,42,5,7,44,30
30:1,30:1:7,44,3,7,41,30
30:1,30:1:7,45,1,7,42,30
30:1,30:1:7,46,4,7,46,30
30:1,30:1:7,46,2,7,48,30
30:1,30:1:7,46,2,8,51,30
30:1,30:1:7,46,5,7,50,30
30:1,30:1:8,40,3,8,41,30
30:1,30:1:8,41,3,8,43,30
30:1,30:1:8,43,5,8,43,30
30:1,30:1:8,44,2,8,44,30
30:1,30:1:8,45,1,7,48,30
30:1,30:1:8,45,5,8,44,30
30:1,30:1:8,45,3,7,48,30
30:1,30:1:8,46,0,8,46,30
30:1,30:1:8,49,1,7,52,30
30:1,30:1:8,49,4,8,53,30
30:2,30:2:0,32,5,7,34,30
30:2,30:2:0,32,4,7,35,30
30:2,30:2:0,35,3,7,34,30
30:2,30:2:0,33,0,7,36,30
30:2,30:2:0,35,3,7,40,30
30:2,30:2:0,35,6,7,37,30
30:2,30:2:0,37,5,8,38,30
30:2,30:2:0,38,2,7,39,30
30:2,30:2:0,40,5,8,39,30
30:2,30:2:0,40,1,8,41,30
30:2,30:2:1,34,6,8,33,30
30:2,30:2:1,34,1,8,36,30
30:2,30:2:1,36,6,8,37,30
30:2,30:2:1,36,1,8,34,30
30:2,30:2:1,36,6,7,40,30
30:2,30:2:1,39,3,8,38,30
30:2,30:2:1,39,4,8,38,30
30:2,30:2:1,41,1,7,39,30
30:2,30:2:1,42,0,7,41,30
30:2,30:2:1,42,6,8,41,30
30:2,30:2:2,34,2,8,32,30
30:2,30:2:2,34,6,7,34,30
30:2,30:2:2,34,4,8,36,30
30:2,30:2:2,38,5,7,36,30
30:2,30:2:2,39,6,7,40,30
30:2,30:2:2,37,0,7,37,30
30:2,30:2:2,38,0,8,40,30
30:2,30:2:2,42,4,7,45,30
30:2,30:2:2,42,6,7,44,30
30:2,30:2:2,42,4,7,46,30
30:2,30:2:3,34,6,8,37,30
30:2,30:2:3,37,1,7,36,30
30:2,30:2:3,37,4,7,37,30
30:2,30:2:3,38,0,8,40,30
30:2,30:2:3,39,6,7,38,30
30:2,30:2:3,40,5,8,41,30
30:2,30:2:3,41,4,7,42,30
30:2,30:2:3,40,5,7,41,30
30:2,30:2:3,44,1,7,44,30
30:2,30:2:3,44,1,8,44,30
30:2,30:2:4,36,2,8,36,30
30:2,30:2:4,36,3,7,37,30
30:2,30:2:4,37,1,8,38,30
30:2,30:2:4,37,2,8,42,30
30:2,30:2:4,38,1,7,42,30
30:2,30:2:4,40,1,8,39,30
30:2,30:2:4,40,1,7,40,30
30:2,30:2:4,41,3,8,43,30
30:2,30:2:4,42,6,7,45,30
30:2,30:2:4,44,5,7,48,30
30:2,30:2:5,37,1,8,40,30
30:2,30:2:5,36,2,7,40,30
30:2,30:2:5,37,5,7,37,30
30:2,30:2:5,39,4,7,39,30
30:2,30:2:5,41,1,7,43,30
30:2,30:2:5,41,6,8,42,30
30:2,30:2:5,42,5,8,46,30
30:2,30:2:5,43,1,8,47,30
30:2,30:2:5,46,1,8,48,30
30:2,30:2:5,44,1,7,48,30
30:2,30:2:6,38,2,8,36,30
30:2,30:2:6,38,5,8,39,30
30:2,30:2:6,38,0,7,38,30
30:2,30:2:6,42,2,8,45,30
30:2,30:2:6,41,4,7,45,30
30:2,30:2:6,44,6,7,46,30
30:2,30:2:6,43,4,8,44,30
30:2,30:2:6,45,4,8,47,30
30:2,30:2:6,46,4,8,47,30
30:2,30:2:6,47,0,7,50,30
30:3,30:3:0,32,0,8,32,30
30:3,30:3:0,31,2,8,33,30
30:3,30:3:0,33,2,8,33,30
30:3,30:3:0,33,2,7,37,30
30:3,30:3:0,37,4,7,34,30
30:3,30:3:0,38,2,8,39,30
30:3,30:3:0,39,2,8,38,30
30:3,30:3:0,40,6,8,37,30
30:3,30:3:0,38,1,7,43,30
30:3,30:3:0,42,1,7,45,30
30:3,30:3:1,31,4,8,34,30
30:3,30:3:1,35,1,8,32,30
30:3,30:3:1,35,3,7,36,30
30:3,30:3:1,34,6,7,40,30
30:3,30:3:1,38,6,7,39,30
30:3,30:3:1,37,5,7,42,30
30:3,30:3:1,38,2,7,43,30
30:3,30:3:1,38,6,8,38,30
30:3,30:3:1,42,4,7,42,30
30:3,30:3:1,42,0,7,40,30
30:3,30:3:2,33,5,7,33,30
30:3,30:3:2,36,6,8,37,30
30:3,30:3:2,34,2,8,36,30
30:3,30:3:2,38,2,7,38,30
30:3,30:3:2,37,6,7,40,30
30:3,30:3:2,37,6,7,42,30
30:3,30:3:2,39,5,7,41,30
30:3,30:3:2,39,3,7,43,30
30:3,30:3:2,41,4,8,40,30
30:3,30:3:2,44,4,7,45,30
30:3,30:3:3,35,6,8,38,30
30:3,30:3:3,34,4,7,39,30
30:3,30:3:3,38,1,8,41,30
30:3,30:3:3,39,0,8,39,30
30:3,30:3:3,40,4,8,42,30
30:3,30:3:3,40,2,8,41,30
30:3,30:3:3,40,1,7,44,30
30:3,30:3:3,40,3,7,41,30
30:3,30:3:3,43,6,7,42,30
30:3,30:3:3,42,1,8,45,30
30:3,30:3:4,34,2,7,39,30
30:3,30:3:4,35,0,8,40,30
30:3,30:3:4,39,0,7,42,30
30:3,30:3:4,37,1,8,39,30
30:3,30:3:4,41,2,7,43,30
30:3,30:3:4,41,3,7,45,30
30:3,30:3:4,41,6,8,41,30
30:3,30:3:4,41,5,7,41,30
30:3,30:3:4,44,2,8,43,30
30:3,30:3:4,46,0,7,49,30
30:3,30:3:5,36,0,7,41,30
30:3,30:3:5,37,2,8,39,30
30:3,30:3:5,39,2,8,40,30
30:3,30:3:5,40,0,7,42,30
30:3,30:3:5,42,6,7,44,30
30:3,30:3:5,42,5,8,46,30
30:3,30:3:5,44,4,7,44,30
30:3,30:3:5,45,6,8,48,30
30:3,30:3:5,44,6,8,46,30
30:3,30:3:5,47,2,7,49,30
30:3,30:3:6,36,1,7,42,30
30:3,30:3:6,40,2,7,40,30
30:3,30:3:6,39,1,7,41,30
30:3,30:3:6,42,4,8,39,30
30:3,30:3:6,40,1,7,40,30
30:3,30:3:6,43,4,7,46,30
30:3,30:3:6,44,4,8,43,30
30:3,30:3:6,44,4,8,48,30
30:3,30:3:6,46,1,8,47,30
30:3,30:3:6,47,4,8,47,30
30:4,30:4:0,30,2,7,36,30
30:4,30:4:0,32,6,8,35,30
30:4,30:4:0,32,4,8,35,30
30:4,30:4:0,33,4,7,33,30
30:4,30:4:0,34,6,7,36,30
30:4,30:4:0,35,5,7,40,30
30:4,30:4:0,37,1,8,39,30
30:4,30:4:0,39,4,8,43,30
30:4,30:4:0,39,6,8,39,30
30:4,30:4:0,41,4,7,41,30
30:4,30:4:1,34,3,7,35,30
30:4,30:4:1,32,1,8,37,30
30:4,30:4:1,34,1,7,37,30
30:4,30:4:1,35,6,8,38,30
30:4,30:4:1,36,1,8,39,30
30:4,30:4:1,37,2,8,36,30
30:4,30:4:1,39,6,8,41,30
30:4,30:4:1,38,1,8,43,30
30:4,30:4:1,42,2,8,45,30
30:4,30:4:1,40,4,8,45,30
30:4,30:4:2,33,2,8,38,30
30:4,30:4:2,36,1,8,37,30
30:4,30:4:2,36,2,8,38,30
30:4,30:4:2,36,2,8,35,30
30:4,30:4:2,37,3,7,39,30
30:4,30:4:2,39,5,7,38,30
30:4,30:4:2,41,4,8,42,30
30:4,30:4:2,40,4,7,45,30
30:4,30:4:2,43,6,8,46,30
30:4,30:4:2,43,1,7,43,30
30:4,30:4:3,34,5,7,34,30
30:4,30:4:3,36,6,7,40,30
30:4,30:4:3,37,6,7,38,30
30:4,30:4:3,39,1,7,42,30
30:4,30:4:3,37,3,7,37,30
30:4,30:4:3,39,4,7,44,30
30:4,30:4:3,41,0,7,39,30
30:4,30:4:3,43,5,7,42,30
30:4,30:4:3,43,1,7,42,30
30:4,30:4:3,44,1,7,42,30
30:4,30:4:4,35,1,7,39,30
30:4,30:4:4,37,4,8,40,30
30:4,30:4:4,37,0,7,41,30
30:4,30:4:4,37,1,7,41,30
